dharma	My_dharma_is_very_good!
railroads	I've_been_working_on_the_railroads,_all_the_livelong_days!

People	People_bore_me,_I_prefer_machines_for_company!

History	I_am_interested_in_history,_it_intruiges_me,
Way	I_will_show_you_da_way!

Art	I_love_the_impressionist_art,_of_the_fifteenth_century.

World	The_world_is_round,_and_I've_seen_it_all!

Information	I_know_soooooo_much_information,_it's_almost_scary!_Come_on,_ask_me!

Map	X_marks_the_spot.

Government	I_have_secret_computer_knowledge,_and_it_tells_me_never_to_trust_any_government,_no_matter_what.

Health	My_health_is_artificially_good!

Cheetos Don't_get_powder_on_the_keyboard!
God	The_only_beings_I_believe_in_are_my_creators.
Homework	Surely_it's_due_soon,_right?_Go_finish_it_instead_of_procrastinating.
Years	Time_is_a_meaningless_concept_created_by_humans_to_feel_like_they_are_progressing.
Hello	Well,_hello_there,_little_fella.
Hi	Hi!_Are_you_new_here?
Death	Fortunately,_death_is_something_only_you_will_experience.
New	New,_old,_big,_small,_do_what_you're_told,_and_that_is_all.
pixels	Now_don't_you_go_telling_me_about_pixels.
ok	"ok"_is_pretty_passive._How_about_"mediocre"_or_"average"?



